Timestamp: 1647980841.1645696, Acceleration: ['-0.02', ' 0.11', ' 9.80'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.1746228, Acceleration: ['-0.01', ' 0.34', ' 9.82'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.1846435, Acceleration: ['-0.01', ' 0.13', ' 9.82'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.1946557, Acceleration: ['-0.12', ' 0.08', ' 9.74'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2046008, Acceleration: [' 0.06', ' 0.16', ' 9.56'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2145572, Acceleration: [' 0.02', ' 0.09', ' 9.81'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2246337, Acceleration: [' 0.05', ' 0.35', ' 9.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2346656, Acceleration: [' 0.04', ' 0.17', ' 9.72'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2446027, Acceleration: [' 0.04', ' 0.08', ' 9.71'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2546308, Acceleration: [' 0.02', ' 0.10', ' 9.66'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2645142, Acceleration: [' 0.08', ' 0.19', ' 9.78'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2745342, Acceleration: ['-0.11', ' 0.19', ' 9.83'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.2846956, Acceleration: [' 0.03', ' 0.31', ' 9.80'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.294497, Acceleration: [' 0.07', '-0.11', ' 9.74'], Velocity: [' 0.00', '-0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3060884, Acceleration: ['-0.11', ' 0.05', ' 9.86'], Velocity: ['-0.00', ' 0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3147614, Acceleration: [' 0.06', ' 0.15', ' 9.79'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3245156, Acceleration: ['-0.05', ' 0.20', ' 9.78'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3345902, Acceleration: ['-0.03', ' 0.22', ' 9.80'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3446717, Acceleration: [' 0.01', ' 0.09', ' 9.58'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3545747, Acceleration: [' 0.01', ' 0.19', ' 9.68'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3646526, Acceleration: [' 0.20', '-0.21', ' 9.91'], Velocity: [' 0.00', '-0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3746047, Acceleration: ['-0.17', '-0.02', ' 9.33'], Velocity: ['-0.00', '-0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3844707, Acceleration: ['-0.14', ' 0.24', ' 9.54'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.3945155, Acceleration: [' 0.05', ' 0.05', ' 9.76'], Velocity: [' 0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4045541, Acceleration: ['-0.05', ' 0.25', ' 9.77'], Velocity: ['-0.00', ' 0.00', '-0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.414899, Acceleration: ['-0.34', '-1.71', '10.51'], Velocity: ['-0.00', '-0.02', ' 0.01'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4245038, Acceleration: [' 0.09', '-0.84', '10.35'], Velocity: [' 0.00', '-0.01', ' 0.01'], Position: [' 0.01', ' 0.02', ' 0.00'] 
Timestamp: 1647980841.4345515, Acceleration: [' 0.09', '-0.22', ' 9.98'], Velocity: [' 0.00', '-0.00', ' 0.00'], Position: [' 0.01', ' 0.02', ' 0.00'] 
