Timestamp: 1656017910.4540532, Acceleration: ['-0.24', '-1.66', ' 9.88'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.4611702, Acceleration: ['-0.33', '-1.96', ' 9.64'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.4766974, Acceleration: ['-0.26', '-1.85', ' 9.78'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.4853349, Acceleration: ['-0.22', '-1.76', '10.04'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.4923537, Acceleration: ['-0.32', '-1.48', ' 9.95'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.5060694, Acceleration: ['-0.26', '-1.44', ' 9.65'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.5147147, Acceleration: ['-0.13', '-2.00', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.5218556, Acceleration: ['-0.34', '-1.84', ' 9.68'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.5292945, Acceleration: ['-0.14', '-1.77', ' 9.86'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.5363066, Acceleration: ['-0.31', '-1.56', ' 9.91'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.5538163, Acceleration: ['-0.32', '-1.61', '10.16'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.560859, Acceleration: ['-0.14', '-1.93', '10.08'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.569008, Acceleration: ['-0.19', '-1.95', '10.10'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.5767043, Acceleration: ['-0.31', '-2.12', ' 9.74'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.585195, Acceleration: ['-0.03', '-2.01', '10.20'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.604997, Acceleration: ['-0.28', '-1.73', ' 9.32'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.6143851, Acceleration: ['-0.62', '-1.72', ' 9.52'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.6215684, Acceleration: ['-0.15', '-2.21', ' 9.71'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
Timestamp: 1656017910.6376736, Acceleration: ['-1.04', '-0.88', '11.24'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.00', ' 0.00', ' 0.00'] 
