Timestamp: 1656015033.955508, Acceleration: [' 0.44', ' 0.12', ' 8.67'], Velocity: [' 0.12', ' 0.05', '-0.27'], Position: [' 0.62', ' 0.61', '-2.59'] 
Timestamp: 1656015034.0555046, Acceleration: [' 0.21', ' 0.19', ' 8.71'], Velocity: [' 0.14', ' 0.07', '-0.38'], Position: [' 0.64', ' 0.62', '-2.63'] 
Timestamp: 1656015034.1555464, Acceleration: [' 0.21', ' 0.28', ' 9.23'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.66', ' 0.63', '-2.68'] 
Timestamp: 1656015034.2555046, Acceleration: [' 0.75', ' 0.26', ' 9.35'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.67', ' 0.63', '-2.68'] 
Timestamp: 1656015034.3557987, Acceleration: [' 0.17', ' 0.20', ' 8.54'], Velocity: [' 0.02', ' 0.02', '-0.13'], Position: [' 0.67', ' 0.63', '-2.70'] 
Timestamp: 1656015034.455527, Acceleration: [' 0.01', ' 0.15', ' 9.34'], Velocity: [' 0.02', ' 0.04', '-0.17'], Position: [' 0.67', ' 0.64', '-2.72'] 
Timestamp: 1656015034.5555189, Acceleration: [' 0.20', ' 0.12', ' 8.85'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.68', ' 0.64', '-2.75'] 
Timestamp: 1656015034.6555114, Acceleration: [' 0.32', ' 0.24', ' 9.03'], Velocity: [' 0.00', ' 0.00', ' 0.00'], Position: [' 0.68', ' 0.65', '-2.77'] 
Timestamp: 1656015034.755522, Acceleration: [' 0.11', ' 0.32', ' 8.66'], Velocity: [' 0.01', ' 0.03', '-0.11'], Position: [' 0.68', ' 0.65', '-2.78'] 
Timestamp: 1656015034.8555079, Acceleration: [' 0.71', '-0.00', ' 9.51'], Velocity: [' 0.08', ' 0.03', '-0.14'], Position: [' 0.69', ' 0.66', '-2.80'] 
Timestamp: 1656015034.9554913, Acceleration: [' 0.28', ' 0.10', ' 8.37'], Velocity: [' 0.11', ' 0.04', '-0.29'], Position: [' 0.71', ' 0.66', '-2.83'] 
