Timestamp: 1656014516.0698783, Acceleration: [' 0.10', '-0.55', '-8.73'], Velocity: [' 0.42', '-0.64', '-15.95'], Position: [' 0.32', '-0.29', '-8.19'] 
Timestamp: 1656014516.079914, Acceleration: ['-0.06', '-0.17', '-8.52'], Velocity: [' 0.42', '-0.64', '-16.13'], Position: [' 0.33', '-0.30', '-8.35'] 
Timestamp: 1656014516.0912538, Acceleration: [' 0.80', '-0.51', '-9.03'], Velocity: [' 0.43', '-0.65', '-16.35'], Position: [' 0.33', '-0.30', '-8.54'] 
Timestamp: 1656014516.1000364, Acceleration: [' 0.93', '-0.47', '-9.10'], Velocity: [' 0.44', '-0.65', '-16.51'], Position: [' 0.34', '-0.31', '-8.68'] 
Timestamp: 1656014516.1101213, Acceleration: [' 0.76', '-0.74', '-10.41'], Velocity: [' 0.45', '-0.66', '-16.72'], Position: [' 0.34', '-0.32', '-8.85'] 
Timestamp: 1656014516.122808, Acceleration: [' 0.08', '-0.71', '-10.90'], Velocity: [' 0.45', '-0.67', '-16.98'], Position: [' 0.35', '-0.32', '-9.07'] 
Timestamp: 1656014516.1299398, Acceleration: [' 0.13', '-0.62', '-11.04'], Velocity: [' 0.45', '-0.67', '-17.13'], Position: [' 0.35', '-0.33', '-9.19'] 
Timestamp: 1656014516.1398842, Acceleration: [' 0.26', '-0.95', '-9.95'], Velocity: [' 0.45', '-0.68', '-17.32'], Position: [' 0.36', '-0.34', '-9.36'] 
Timestamp: 1656014516.1504226, Acceleration: ['-0.65', '-0.67', '-10.61'], Velocity: [' 0.45', '-0.69', '-17.54'], Position: [' 0.36', '-0.34', '-9.55'] 
Timestamp: 1656014516.1600072, Acceleration: ['-0.20', '-0.63', '-8.87'], Velocity: [' 0.44', '-0.70', '-17.72'], Position: [' 0.36', '-0.35', '-9.72'] 
Timestamp: 1656014516.1699233, Acceleration: ['-0.14', '-0.22', '-8.32'], Velocity: [' 0.44', '-0.70', '-17.90'], Position: [' 0.37', '-0.36', '-9.90'] 
Timestamp: 1656014516.1802127, Acceleration: [' 0.71', '-0.34', '-8.95'], Velocity: [' 0.45', '-0.70', '-18.09'], Position: [' 0.37', '-0.36', '-10.09'] 
Timestamp: 1656014516.190275, Acceleration: [' 0.95', '-0.73', '-8.94'], Velocity: [' 0.46', '-0.71', '-18.28'], Position: [' 0.38', '-0.37', '-10.27'] 
Timestamp: 1656014516.1998918, Acceleration: [' 0.95', '-0.68', '-10.90'], Velocity: [' 0.47', '-0.72', '-18.48'], Position: [' 0.38', '-0.38', '-10.45'] 
Timestamp: 1656014516.2098048, Acceleration: [' 0.95', '-0.62', '-9.62'], Velocity: [' 0.48', '-0.72', '-18.67'], Position: [' 0.39', '-0.39', '-10.64'] 
Timestamp: 1656014516.2201483, Acceleration: [' 0.18', '-0.80', '-10.87'], Velocity: [' 0.48', '-0.73', '-18.89'], Position: [' 0.39', '-0.39', '-10.83'] 
Timestamp: 1656014516.2297645, Acceleration: ['-0.50', '-0.63', '-9.71'], Velocity: [' 0.47', '-0.74', '-19.07'], Position: [' 0.40', '-0.40', '-11.02'] 
Timestamp: 1656014516.2399833, Acceleration: ['-0.45', '-0.71', '-10.38'], Velocity: [' 0.47', '-0.74', '-19.28'], Position: [' 0.40', '-0.41', '-11.22'] 
Timestamp: 1656014516.2508698, Acceleration: ['-0.21', '-0.73', '-8.89'], Velocity: [' 0.47', '-0.75', '-19.48'], Position: [' 0.41', '-0.42', '-11.43'] 
Timestamp: 1656014516.2600152, Acceleration: [' 0.44', '-0.41', '-8.93'], Velocity: [' 0.47', '-0.76', '-19.65'], Position: [' 0.41', '-0.42', '-11.61'] 
Timestamp: 1656014516.2699108, Acceleration: [' 0.89', '-0.32', '-8.78'], Velocity: [' 0.48', '-0.76', '-19.84'], Position: [' 0.42', '-0.43', '-11.81'] 
Timestamp: 1656014516.2800443, Acceleration: [' 0.99', '-0.36', '-8.38'], Velocity: [' 0.49', '-0.76', '-20.02'], Position: [' 0.42', '-0.44', '-12.01'] 
Timestamp: 1656014516.2899, Acceleration: [' 1.17', '-0.76', '-10.60'], Velocity: [' 0.50', '-0.77', '-20.22'], Position: [' 0.43', '-0.45', '-12.21'] 
Timestamp: 1656014516.3011205, Acceleration: ['-0.09', '-0.77', '-9.83'], Velocity: [' 0.50', '-0.78', '-20.44'], Position: [' 0.43', '-0.46', '-12.44'] 
Timestamp: 1656014516.3106298, Acceleration: [' 0.09', '-0.77', '-11.23'], Velocity: [' 0.50', '-0.79', '-20.64'], Position: [' 0.44', '-0.46', '-12.64'] 
Timestamp: 1656014516.3201544, Acceleration: ['-0.79', '-0.48', '-9.86'], Velocity: [' 0.49', '-0.79', '-20.83'], Position: [' 0.44', '-0.47', '-12.84'] 
Timestamp: 1656014516.3299472, Acceleration: [' 0.16', '-0.53', '-9.28'], Velocity: [' 0.50', '-0.80', '-21.02'], Position: [' 0.45', '-0.48', '-13.04'] 
Timestamp: 1656014516.3399463, Acceleration: [' 0.01', '-0.41', '-8.99'], Velocity: [' 0.50', '-0.80', '-21.21'], Position: [' 0.45', '-0.49', '-13.26'] 
