Timestamp: 1656014462.3519862, Acceleration: [' 0.28', ' 0.70', '25.23'], Velocity: [' 0.80', '-0.59', '27.08'], Position: [' 0.78', '-0.88', '23.56'] 
Timestamp: 1656014462.3622086, Acceleration: [' 0.43', ' 0.69', '25.43'], Velocity: [' 0.81', '-0.58', '27.24'], Position: [' 0.78', '-0.89', '23.84'] 
Timestamp: 1656014462.3721144, Acceleration: [' 0.27', '-0.01', '25.96'], Velocity: [' 0.81', '-0.58', '27.40'], Position: [' 0.79', '-0.89', '24.11'] 
Timestamp: 1656014462.3820183, Acceleration: [' 0.33', '-0.09', '25.43'], Velocity: [' 0.81', '-0.58', '27.55'], Position: [' 0.80', '-0.90', '24.38'] 
Timestamp: 1656014462.3964992, Acceleration: [' 0.33', ' 0.09', '26.62'], Velocity: [' 0.82', '-0.58', '27.79'], Position: [' 0.81', '-0.91', '24.79'] 
Timestamp: 1656014462.4028728, Acceleration: [' 0.19', ' 0.69', '27.31'], Velocity: [' 0.82', '-0.58', '27.91'], Position: [' 0.82', '-0.91', '24.97'] 
Timestamp: 1656014462.4120965, Acceleration: [' 0.06', ' 0.67', '27.55'], Velocity: [' 0.82', '-0.57', '28.07'], Position: [' 0.83', '-0.92', '25.23'] 
Timestamp: 1656014462.4223015, Acceleration: ['-0.11', ' 0.53', '26.80'], Velocity: [' 0.82', '-0.56', '28.24'], Position: [' 0.83', '-0.92', '25.51'] 
Timestamp: 1656014462.4356434, Acceleration: [' 0.06', ' 1.06', '25.54'], Velocity: [' 0.82', '-0.55', '28.45'], Position: [' 0.84', '-0.93', '25.90'] 
Timestamp: 1656014462.4422884, Acceleration: [' 0.26', ' 1.00', '25.36'], Velocity: [' 0.82', '-0.54', '28.56'], Position: [' 0.85', '-0.93', '26.09'] 
Timestamp: 1656014462.452096, Acceleration: [' 0.54', ' 0.92', '24.86'], Velocity: [' 0.83', '-0.53', '28.70'], Position: [' 0.86', '-0.94', '26.37'] 
Timestamp: 1656014462.4622862, Acceleration: [' 0.32', ' 0.06', '25.47'], Velocity: [' 0.83', '-0.53', '28.86'], Position: [' 0.87', '-0.94', '26.66'] 
Timestamp: 1656014462.4719763, Acceleration: [' 0.26', '-0.31', '25.47'], Velocity: [' 0.83', '-0.54', '29.01'], Position: [' 0.87', '-0.95', '26.94'] 
