Timestamp: 1652971677.577922, Acceleration: [' 0.17', ' 0.78', ' 2.00'], Velocity: [' 0.42', ' 0.80', '-11.27'], Position: [' 0.34', ' 0.58', '-8.50'] 
Timestamp: 1652971677.587584, Acceleration: [' 0.25', ' 0.55', ' 1.83'], Velocity: [' 0.42', ' 0.80', '-11.34'], Position: [' 0.34', ' 0.58', '-8.61'] 
Timestamp: 1652971677.5952146, Acceleration: [' 0.16', ' 0.75', ' 1.90'], Velocity: [' 0.42', ' 0.81', '-11.41'], Position: [' 0.35', ' 0.59', '-8.70'] 
Timestamp: 1652971677.6051793, Acceleration: [' 0.34', ' 0.64', ' 1.98'], Velocity: [' 0.43', ' 0.81', '-11.48'], Position: [' 0.35', ' 0.60', '-8.81'] 
Timestamp: 1652971677.6163821, Acceleration: [' 0.05', ' 0.64', ' 1.89'], Velocity: [' 0.43', ' 0.82', '-11.57'], Position: [' 0.36', ' 0.61', '-8.94'] 
Timestamp: 1652971677.6252139, Acceleration: [' 0.11', ' 0.62', ' 1.78'], Velocity: [' 0.43', ' 0.83', '-11.64'], Position: [' 0.36', ' 0.61', '-9.05'] 
Timestamp: 1652971677.6351578, Acceleration: [' 0.14', ' 0.53', ' 1.81'], Velocity: [' 0.43', ' 0.83', '-11.72'], Position: [' 0.36', ' 0.62', '-9.16'] 
Timestamp: 1652971677.6505947, Acceleration: [' 0.22', ' 0.58', ' 1.80'], Velocity: [' 0.43', ' 0.84', '-11.85'], Position: [' 0.37', ' 0.64', '-9.35'] 
Timestamp: 1652971677.6574833, Acceleration: [' 0.35', ' 0.49', ' 1.72'], Velocity: [' 0.44', ' 0.84', '-11.90'], Position: [' 0.37', ' 0.64', '-9.43'] 
Timestamp: 1652971677.665212, Acceleration: [' 0.52', ' 0.63', ' 1.89'], Velocity: [' 0.44', ' 0.85', '-11.96'], Position: [' 0.38', ' 0.65', '-9.52'] 
Timestamp: 1652971677.675151, Acceleration: [' 0.47', ' 0.59', ' 1.77'], Velocity: [' 0.44', ' 0.85', '-12.04'], Position: [' 0.38', ' 0.66', '-9.64'] 
Timestamp: 1652971677.68509, Acceleration: [' 0.50', ' 0.45', ' 1.79'], Velocity: [' 0.45', ' 0.86', '-12.12'], Position: [' 0.39', ' 0.66', '-9.76'] 
Timestamp: 1652971677.6952834, Acceleration: [' 0.41', ' 0.61', ' 1.84'], Velocity: [' 0.45', ' 0.87', '-12.20'], Position: [' 0.39', ' 0.67', '-9.89'] 
Timestamp: 1652971677.705329, Acceleration: [' 0.37', ' 0.70', ' 1.88'], Velocity: [' 0.46', ' 0.87', '-12.28'], Position: [' 0.39', ' 0.68', '-10.01'] 
Timestamp: 1652971677.715146, Acceleration: [' 0.27', ' 0.62', ' 1.83'], Velocity: [' 0.46', ' 0.88', '-12.36'], Position: [' 0.40', ' 0.69', '-10.13'] 
Timestamp: 1652971677.725389, Acceleration: [' 0.15', ' 0.63', ' 1.78'], Velocity: [' 0.46', ' 0.88', '-12.44'], Position: [' 0.40', ' 0.70', '-10.26'] 
Timestamp: 1652971677.7355797, Acceleration: [' 0.34', ' 0.66', ' 1.96'], Velocity: [' 0.47', ' 0.89', '-12.52'], Position: [' 0.41', ' 0.71', '-10.39'] 
Timestamp: 1652971677.7451615, Acceleration: [' 0.36', ' 0.75', ' 1.97'], Velocity: [' 0.47', ' 0.90', '-12.60'], Position: [' 0.41', ' 0.72', '-10.51'] 
Timestamp: 1652971677.756013, Acceleration: [' 0.05', ' 0.59', ' 1.76'], Velocity: [' 0.47', ' 0.91', '-12.69'], Position: [' 0.42', ' 0.73', '-10.65'] 
Timestamp: 1652971677.7652044, Acceleration: [' 0.08', ' 0.67', ' 1.85'], Velocity: [' 0.47', ' 0.91', '-12.76'], Position: [' 0.42', ' 0.74', '-10.77'] 
Timestamp: 1652971677.775535, Acceleration: [' 0.29', ' 0.73', ' 1.96'], Velocity: [' 0.47', ' 0.92', '-12.84'], Position: [' 0.43', ' 0.75', '-10.90'] 
Timestamp: 1652971677.7872612, Acceleration: [' 0.35', ' 0.57', ' 1.83'], Velocity: [' 0.48', ' 0.93', '-12.93'], Position: [' 0.43', ' 0.76', '-11.05'] 
Timestamp: 1652971677.7952113, Acceleration: [' 0.16', ' 0.45', ' 1.66'], Velocity: [' 0.48', ' 0.93', '-13.00'], Position: [' 0.44', ' 0.76', '-11.16'] 
Timestamp: 1652971677.8064344, Acceleration: [' 0.48', ' 0.60', ' 1.83'], Velocity: [' 0.48', ' 0.94', '-13.09'], Position: [' 0.44', ' 0.77', '-11.30'] 
Timestamp: 1652971677.8156006, Acceleration: [' 0.53', ' 0.45', ' 1.83'], Velocity: [' 0.49', ' 0.94', '-13.16'], Position: [' 0.45', ' 0.78', '-11.42'] 
Timestamp: 1652971677.8252785, Acceleration: [' 0.41', ' 0.48', ' 1.78'], Velocity: [' 0.49', ' 0.94', '-13.24'], Position: [' 0.45', ' 0.79', '-11.55'] 
Timestamp: 1652971677.835336, Acceleration: [' 0.26', ' 0.52', ' 1.83'], Velocity: [' 0.50', ' 0.95', '-13.32'], Position: [' 0.46', ' 0.80', '-11.69'] 
